id,title,year,minutes,genres,average_rating,num_votes,time,length,known,genre_1,genre_2,genre_3
tt0107146,The Hour of the Pig,1993,112,"Crime,Drama,History",6.6,1950,Middle,Normal,Unknown,Crime,Drama,History
tt0107147,A House in the Hills,1993,95,"Romance,Thriller",5.6,1255,Middle,Normal,Unknown,Romance,Thriller,Unknown
tt0107148,House of Cards,1993,109,Drama,6.2,2674,Middle,Normal,Normal,Drama,Unknown,Unknown
tt0107151,The House of the Spirits,1993,140,"Drama,Romance",6.9,21713,Middle,Long,Known,Drama,Romance,Unknown
tt0107156,Xi yan,1993,106,"Comedy,Drama,Romance",7.6,14583,Middle,Normal,Known,Comedy,Drama,Romance
tt0107157,Xi meng ren sheng,1993,142,"Biography,Drama,War",7.2,1740,Middle,Long,Unknown,Biography,Drama,War
tt0107165,Huevos de oro,1993,95,"Comedy,Drama",6.1,3354,Middle,Normal,Normal,Comedy,Drama,Unknown
tt0107166,Hum Hain Rahi Pyar Ke,1993,163,"Comedy,Drama,Romance",7.4,5521,Middle,Long,Normal,Comedy,Drama,Romance
tt0107175,Hélas pour moi,1993,95,"Comedy,Drama,Fantasy",6.2,1219,Middle,Normal,Unknown,Comedy,Drama,Fantasy
tt0107206,In the Line of Fire,1993,128,"Action,Crime,Drama",7.2,96490,Middle,Long,Known,Action,Crime,Drama
